id,source,time,view,visible,not_visible,grade,historical_geometry,modern_only,status
S03-023,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-024,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-025,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,high view toward main teaching,Whole stadium plane and surrounding boundary; modern teaching facade and striped turf,No calibrated measurement; no uniquely resolved entrance/field section,P,true,true,downloaded_research_copy
S03-026,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,field four directions,Same four-image montage as user; boundary relationship not independent new evidence,No calibrated measurement; no uniquely resolved entrance/field section,P,true,true,downloaded_research_copy
S03-027,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,field to rostrum and perimeter,Rostrum raised base visible; edge wall and rails; exact dimensions and early-period pavilion not established,No calibrated measurement; no uniquely resolved entrance/field section,P,true,true,downloaded_research_copy
S03-028,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-029,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-030,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-031,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-032,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-033,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-034,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-035,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-036,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-037,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-038,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,old teaching frontage oblique,Older teaching frontage and adjacent open circulation; no complete entry grade or field vertical section,No calibrated measurement; no uniquely resolved entrance/field section,P,true,false,downloaded_research_copy
S03-039,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-040,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-047,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-049,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-062,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,main tree-lined avenue,Perimeter enclosure and road relation; no calibrated levels,No calibrated measurement; no uniquely resolved entrance/field section,P,true,false,downloaded_research_copy
S03-063,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,along tree-lined avenue,"Road depth, perimeter rails and adjacent buildings; confirms long approach environment, not 42m or3m",No calibrated measurement; no uniquely resolved entrance/field section,P,true,false,downloaded_research_copy
S03-064,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-065,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S05-005,https://www.cmie.cn/news2/1882.html,2023-12-25,rebuild site collage,Old gym/training-building context only; modern rebuild geometry excluded,No calibrated measurement; no uniquely resolved entrance/field section,P,true,true,downloaded_research_copy
C01-001,https://commons.wikimedia.org/wiki/File:Yali_High_School_sports_field_2006.jpg,unknown,from teaching frontage toward field/gym,Older track with low boundary / planting strip / upper foreground circulation and separate flag platform; no metric field drop,No calibrated measurement; no uniquely resolved entrance/field section,P,true,false,downloaded_research_copy
C01-002,https://commons.wikimedia.org/wiki/File:Yali_High_School_sports_field_2006.jpg,unknown,duplicate of C01-001,Same image and view; do not count as independent corroboration,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
C02-001,https://commons.wikimedia.org/wiki/File:Yali_High_School_sports_ground_football_practice.jpg,unknown,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,failed
C02-002,https://commons.wikimedia.org/wiki/File:Yali_High_School_sports_ground_football_practice.jpg,unknown,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,failed
O01-001,https://www.yali.edu.cn/,unknown,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,failed
O01-002,https://www.yali.edu.cn/,unknown,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
O01-003,https://www.yali.edu.cn/,unknown,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,failed
O01-004,https://www.yali.edu.cn/,unknown,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
O01-005,https://www.yali.edu.cn/,unknown,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,failed
O01-006,https://www.yali.edu.cn/,unknown,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,failed
O01-007,https://www.yali.edu.cn/,unknown,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
SINA-TEXT,https://k.sina.com.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,alumni retrospective text,Text describes inward uphill approach,Length/rise/gradient not specified,R,true,false,reviewed text/user input
CMIE-2023,https://www.cmie.cn/news2/1882.html,2023-12-25,architectural rebuild report,Local gym site described1–1.5m internal difference and surrounding retaining structures; old training level straight track,NOT a 2006 field survey; NOT entry total rise,R,false,true,reviewed text/user input
COMMONS-PRACTICE-METADATA,https://commons.wikimedia.org/wiki/File:Yali_High_School_sports_ground_football_practice.jpg,2006-06-15,"metadata only, not newly image-reviewed",Author X.Zhou; EXIF2006-06-02; upload2006-06-15,This image not downloaded in this pass; C01 collector downloaded another photo twice,R,false,false,reviewed text/user input
